name,original,reduced,Seed
triptim1.mp,15.962,15.764,0
triptim1.mp,12.312,15.995,1
triptim1.mp,15.563,14.988,12
triptim1.mp,11.103,16.874,123
triptim1.mp,20.747,13.008,1234
uccase9.mp,1563.183,1569.616,0
uccase9.mp,1662.723,1711.49,1
uccase9.mp,1925.462,2073.79,12
uccase9.mp,1687.51,981.459,123
uccase9.mp,1381.076,1302.939,1234
uct-subprob.mp,617.903,269.407,0
uct-subprob.mp,660.561,301.069,1
uct-subprob.mp,527.328,359.245,12
uct-subprob.mp,453.269,328.476,123
uct-subprob.mp,698.376,357.744,1234
wachplan.mp,84.765,79.352,0
wachplan.mp,97.054,93.347,1
wachplan.mp,180.804,169.752,12
wachplan.mp,115.399,108.041,123
wachplan.mp,130.848,121.12,1234
rail02.mp,3602.659,3605.325,0
rail02.mp,3601.695,3601.858,1
rail02.mp,3601.854,3601.844,12
rail02.mp,3601.682,3601.693,123
rail02.mp,3601.154,3601.213,1234
s100.mp,3602.207,3605.802,0
s100.mp,3601.659,3602.006,1
s100.mp,3602.027,3604.271,12
s100.mp,3604.537,3601.842,123
s100.mp,3605.798,3601.934,1234
s250r10.mp,3601.354,3606.607,0
s250r10.mp,3602.64,3602.567,1
s250r10.mp,3602.646,3603.216,12
s250r10.mp,3601.503,3601.947,123
s250r10.mp,3603.247,3603.678,1234
